Golfer ,OWGR,DK
Scottie Scheffler  ,11.79,12100
Rory McIlroy  ,10.74,11500
Jon Rahm  ,10.27,11100
Patrick Cantlay  ,6.86,9800
Viktor Hovland  ,6.33,10200
Xander Schauffele  ,6.17,10000
Max Homa  ,5.22,8800
Brian Harman  ,4.92,8300
Matthew Fitzpatrick  ,4.85,8600
Wyndham Clark  ,4.63,8500
Jordan Spieth  ,4.43,9300
Tyrrell Hatton  ,4.35,9700
Keegan Bradley  ,4.18,7700
Cameron Young  ,4.17,8200
Tony Finau  ,4.09,8700
Tom Kim  ,4.04,7800
Jason Day  ,3.93,8900
Sam Burns  ,3.91,8100
Collin Morikawa  ,3.86,9000
Tommy Fleetwood  ,3.86,9100
Sepp Straka  ,3.68,7700
Rickie Fowler  ,3.65,9500
Sungjae Im  ,3.44,8000
Kurt Kitayama  ,3.23,6400
Russell Henley  ,3.12,7800
Corey Conners  ,2.77,7600
Hideki Matsuyama  ,2.74,8400
Denny McCarthy  ,2.73,7500
Justin Rose  ,2.73,7200
Emiliano Grillo  ,2.7,7100
Sahith Theegala  ,2.67,7600
Si Woo Kim  ,2.54,7400
Harris English  ,2.43,7000
J.T. Poston  ,2.37,7300
Tom Hoge  ,2.24,6300
Chris Kirk  ,2.2,6800
Nick Taylor  ,2.12,6200
Adam Schenk  ,2.09,6400
Cameron Davis  ,2,7200
Taylor Moore  ,1.98,7000
Lucas Glover  ,1.89,7400
Seamus Power  ,1.87,6300
Lee Hodges  ,1.86,6500
Brendon Todd  ,1.81,6800
Byeong-Hun An  ,1.81,7500
Keith Mitchell  ,1.76,7100
Adam Hadwin  ,1.75,6900
Adam Svensson  ,1.72,6700
Andrew Putnam  ,1.71,6400
Matt Kuchar  ,1.7,6600
Alex Smalley  ,1.58,6800
Taylor Montgomery  ,1.53,6100
Eric Cole  ,1.51,6900
Patrick Rodgers  ,1.43,6500
Thomas Detry  ,1.43,6900
Mackenzie Hughes  ,1.41,6000
J.J. Spaun  ,1.37,6600
Brandon Wu  ,1.32,6200
Mark Hubbard  ,1.32,6600
Davis Riley  ,1.31,6200
Hayden Buckley  ,1.3,6100
Aaron Rai  ,1.27,7000
Stephan Jaeger  ,1.26,7300
Beau Hossler  ,1.11,6700
Sam Ryder  ,1.11,6000
Ben Griffin  ,1.09,6100
Sam Stevens  ,1.09,6300
Matthew NeSmith  ,1.08,6000
Nick Hardy  ,0.94,6500
Vincent Norrman  ,0.83,6700
