Golfer ,No.,Cashes,Cash %,Top10s,$/Event,OWGR,Value
Scottie Scheffler  ,10,10,1,8,1228705,11.79,10.42
Rory McIlroy  ,10,8,0.8,8,934125,10.74,8.7
Jon Rahm  ,10,8,0.8,3,559156,10.27,5.44
Patrick Cantlay  ,10,9,0.9,4,419337,6.86,6.11
Viktor Hovland  ,10,10,1,4,805320,6.33,12.72
Xander Schauffele  ,10,10,1,4,361437,6.17,5.86
Max Homa  ,10,7,0.7,3,198761,5.22,3.81
Brian Harman  ,10,7,0.7,3,589998,4.92,11.99
Matthew Fitzpatrick  ,10,7,0.7,3,508519,4.85,10.48
Wyndham Clark  ,10,9,0.9,1,482279,4.63,10.42
Jordan Spieth  ,10,8,0.8,4,509690,4.43,11.51
Tyrrell Hatton  ,10,10,1,3,519339,4.35,11.94
Keegan Bradley  ,10,7,0.7,2,469899,4.18,11.24
Cameron Young  ,10,8,0.8,4,393200,4.17,9.43
Tony Finau  ,10,9,0.9,0,130568,4.09,3.19
Tom Kim  ,10,7,0.7,3,242860,4.04,6.01
Jason Day  ,10,7,0.7,4,317503,3.93,8.08
Sam Burns  ,10,7,0.7,1,456352,3.91,11.67
Collin Morikawa  ,10,6,0.6,1,162066,3.86,4.2
Tommy Fleetwood  ,10,9,0.9,3,225724,3.86,5.85
Sepp Straka  ,10,7,0.7,2,217648,3.68,5.91
Rickie Fowler  ,10,9,0.9,2,298052,3.65,8.17
Sungjae Im  ,10,7,0.7,2,219308,3.44,6.38
Kurt Kitayama  ,10,4,0.4,2,143109,3.23,4.43
Russell Henley  ,10,8,0.8,1,237650,3.12,7.62
Corey Conners  ,10,6,0.6,1,136649,2.77,4.93
Hideki Matsuyama  ,10,8,0.8,1,251127,2.74,9.17
Denny McCarthy  ,10,8,0.8,2,415856,2.73,15.23
Justin Rose  ,10,4,0.4,2,162311,2.73,5.95
Emiliano Grillo  ,10,6,0.6,2,165838,2.7,6.14
Sahith Theegala  ,10,8,0.8,2,174121,2.67,6.52
Si Woo Kim  ,10,6,0.6,1,164813,2.54,6.49
Harris English  ,10,7,0.7,2,265957,2.43,10.94
J.T. Poston  ,10,6,0.6,2,92082,2.37,3.89
Tom Hoge  ,10,6,0.6,1,176910,2.24,7.9
Chris Kirk  ,10,5,0.5,0,49322,2.2,2.24
Nick Taylor  ,10,5,0.5,1,257494,2.12,12.15
Adam Schenk  ,10,5,0.5,1,111127,2.09,5.32
Cameron Davis  ,10,5,0.5,3,239302,2,11.97
Taylor Moore  ,10,6,0.6,0,106989,1.98,5.4
Lucas Glover  ,10,5,0.5,1,108530,1.89,5.74
Seamus Power  ,10,3,0.3,0,24236,1.87,1.3
Lee Hodges  ,10,5,0.5,0,96201,1.86,5.17
Brendon Todd  ,10,5,0.5,1,64906,1.81,3.59
Byeong-Hun An  ,10,6,0.6,1,90618,1.81,5.01
Keith Mitchell  ,10,8,0.8,1,150123,1.76,8.53
Adam Hadwin  ,10,7,0.7,1,120355,1.75,6.88
Adam Svensson  ,10,7,0.7,1,139140,1.72,8.09
Andrew Putnam  ,10,8,0.8,2,149666,1.71,8.75
Matt Kuchar  ,10,6,0.6,2,144622,1.7,8.51
Alex Smalley  ,10,5,0.5,1,81309,1.58,5.15
Taylor Montgomery  ,10,5,0.5,0,46572,1.53,3.04
Eric Cole  ,7,6,0.86,0,127807,1.51,8.46
Patrick Rodgers  ,10,5,0.5,0,88739,1.43,6.21
Thomas Detry  ,10,7,0.7,0,70497,1.43,4.93
Mackenzie Hughes  ,10,4,0.4,1,86372,1.41,6.13
J.J. Spaun  ,10,4,0.4,2,114168,1.37,8.33
Brandon Wu  ,10,2,0.2,0,32354,1.32,2.45
Mark Hubbard  ,10,5,0.5,0,83450,1.32,6.32
Davis Riley  ,10,5,0.5,1,93221,1.31,7.12
Hayden Buckley  ,10,4,0.4,1,107765,1.3,8.29
Aaron Rai  ,10,7,0.7,0,77775,1.27,6.12
Stephan Jaeger  ,10,6,0.6,0,44019,1.26,3.49
Beau Hossler  ,10,6,0.6,0,72713,1.11,6.55
Sam Ryder  ,10,5,0.5,0,60015,1.11,5.41
Ben Griffin  ,9,5,0.56,0,81547,1.09,7.48
Sam Stevens  ,6,4,0.67,0,34677,1.09,3.18
Matthew NeSmith  ,10,3,0.3,0,27983,1.08,2.59
Nick Hardy  ,10,3,0.3,0,52445,0.94,5.58
Vincent Norrman  ,2,0,0,0,0,0.83,0
