Golfer ,No.,Cashes,Cash %,Top10s,$/Event,OWGR,Value
Scottie Scheffler  ,15,15,1,12,1199790,11.79,10.18
Rory McIlroy  ,15,13,0.87,10,784734,10.74,7.31
Jon Rahm  ,15,13,0.87,8,875574,10.27,8.53
Patrick Cantlay  ,15,13,0.87,7,457973,6.86,6.68
Viktor Hovland  ,15,15,1,5,600192,6.33,9.48
Xander Schauffele  ,15,15,1,7,447670,6.17,7.26
Max Homa  ,15,11,0.73,6,335285,5.22,6.42
Brian Harman  ,15,9,0.6,4,411485,4.92,8.36
Matthew Fitzpatrick  ,15,11,0.73,3,376549,4.85,7.76
Wyndham Clark  ,15,14,0.93,5,619172,4.63,13.37
Jordan Spieth  ,15,10,0.67,6,415153,4.43,9.37
Tyrrell Hatton  ,15,14,0.93,6,485392,4.35,11.16
Keegan Bradley  ,15,11,0.73,3,406098,4.18,9.72
Cameron Young  ,15,12,0.8,5,294164,4.17,7.05
Tony Finau  ,15,12,0.8,2,208115,4.09,5.09
Tom Kim  ,15,11,0.73,4,195429,4.04,4.84
Jason Day  ,15,11,0.73,7,406518,3.93,10.34
Sam Burns  ,15,11,0.73,3,357860,3.91,9.15
Collin Morikawa  ,15,9,0.6,3,210264,3.86,5.45
Tommy Fleetwood  ,15,13,0.87,6,312420,3.86,8.09
Sepp Straka  ,15,11,0.73,3,244020,3.68,6.63
Rickie Fowler  ,15,14,0.93,5,374515,3.65,10.26
Sungjae Im  ,15,10,0.67,3,159134,3.44,4.63
Kurt Kitayama  ,15,7,0.47,3,341154,3.23,10.56
Russell Henley  ,15,11,0.73,2,214835,3.12,6.89
Corey Conners  ,15,11,0.73,3,257784,2.77,9.31
Hideki Matsuyama  ,15,11,0.73,1,184953,2.74,6.75
Denny McCarthy  ,15,11,0.73,4,315289,2.73,11.55
Justin Rose  ,15,10,0.67,4,261647,2.73,9.58
Emiliano Grillo  ,15,11,0.73,5,258542,2.7,9.58
Sahith Theegala  ,15,12,0.8,2,145077,2.67,5.43
Si Woo Kim  ,15,11,0.73,3,185572,2.54,7.31
Harris English  ,15,11,0.73,3,274474,2.43,11.3
J.T. Poston  ,15,10,0.67,6,142246,2.37,6
Tom Hoge  ,15,10,0.67,1,130667,2.24,5.83
Chris Kirk  ,15,9,0.6,1,66072,2.2,3
Nick Taylor  ,15,8,0.53,3,189309,2.12,8.93
Adam Schenk  ,15,7,0.47,5,215663,2.09,10.32
Cameron Davis  ,15,9,0.6,5,199162,2,9.96
Taylor Moore  ,15,10,0.67,3,202128,1.98,10.21
Lucas Glover  ,15,9,0.6,4,157233,1.89,8.32
Seamus Power  ,15,8,0.53,0,78979,1.87,4.22
Lee Hodges  ,15,10,0.67,2,167965,1.86,9.03
Brendon Todd  ,15,12,0.8,3,124511,1.81,6.88
Byeong-Hun An  ,15,12,0.8,3,148569,1.81,8.21
Keith Mitchell  ,15,11,0.73,2,84037,1.76,4.77
Adam Hadwin  ,15,8,0.53,2,144442,1.75,8.25
Adam Svensson  ,15,11,0.73,1,90362,1.72,5.25
Andrew Putnam  ,15,12,0.8,2,114576,1.71,6.7
Matt Kuchar  ,15,10,0.67,2,104061,1.7,6.12
Alex Smalley  ,15,9,0.6,2,124118,1.58,7.86
Taylor Montgomery  ,15,8,0.53,0,40475,1.53,2.65
Eric Cole  ,15,12,0.8,2,109242,1.51,7.23
Patrick Rodgers  ,15,9,0.6,3,104326,1.43,7.3
Thomas Detry  ,15,10,0.67,1,59150,1.43,4.14
Mackenzie Hughes  ,15,6,0.4,1,71623,1.41,5.08
J.J. Spaun  ,15,10,0.67,2,62156,1.37,4.54
Brandon Wu  ,15,8,0.53,2,80459,1.32,6.1
Mark Hubbard  ,15,9,0.6,4,111520,1.32,8.45
Davis Riley  ,15,7,0.47,1,113664,1.31,8.68
Hayden Buckley  ,15,6,0.4,2,89336,1.3,6.87
Aaron Rai  ,15,9,0.6,2,104588,1.27,8.24
Stephan Jaeger  ,15,14,0.93,1,93095,1.26,7.39
Beau Hossler  ,15,11,0.73,3,82630,1.11,7.44
Sam Ryder  ,15,8,0.53,2,70990,1.11,6.4
Ben Griffin  ,15,6,0.4,0,29582,1.09,2.71
Sam Stevens  ,15,10,0.67,2,100738,1.09,9.24
Matthew NeSmith  ,15,9,0.6,1,49010,1.08,4.54
Nick Hardy  ,15,11,0.73,1,133480,0.94,14.2
Vincent Norrman  ,15,10,0.67,3,93836,0.83,11.31
