Golfer ,No.,Cashes,Cash %,Top10s,$/Event,OWGR,Value
Scottie Scheffler  ,4,4,1,3,876733,11.79,7.44
Rory McIlroy  ,4,3,0.75,3,816563,10.74,7.6
Jon Rahm  ,4,4,1,3,1199317,10.27,11.68
Patrick Cantlay  ,4,4,1,1,303614,6.86,4.43
Viktor Hovland  ,4,4,1,2,653009,6.33,10.32
Xander Schauffele  ,4,4,1,2,317330,6.17,5.14
Max Homa  ,4,3,0.75,1,102500,5.22,1.96
Brian Harman  ,4,2,0.5,1,766631,4.92,15.58
Matthew Fitzpatrick  ,4,3,0.75,1,193723,4.85,3.99
Wyndham Clark  ,4,3,0.75,1,928906,4.63,20.06
Jordan Spieth  ,4,3,0.75,1,238909,4.43,5.39
Tyrrell Hatton  ,4,4,1,0,172974,4.35,3.98
Keegan Bradley  ,4,2,0.5,0,69334,4.18,1.66
Cameron Young  ,4,3,0.75,2,272963,4.17,6.55
Tony Finau  ,4,3,0.75,0,70375,4.09,1.72
Tom Kim  ,4,3,0.75,2,477109,4.04,11.81
Jason Day  ,4,2,0.5,1,290956,3.93,7.4
Sam Burns  ,4,2,0.5,0,58275,3.91,1.49
Collin Morikawa  ,4,3,0.75,1,224836,3.86,5.82
Tommy Fleetwood  ,4,4,1,2,343334,3.86,8.89
Sepp Straka  ,4,3,0.75,2,424306,3.68,11.53
Rickie Fowler  ,4,3,0.75,1,247551,3.65,6.78
Sungjae Im  ,4,2,0.5,0,106017,3.44,3.08
Kurt Kitayama  ,4,2,0.5,1,189975,3.23,5.88
Russell Henley  ,4,2,0.5,1,269086,3.12,8.62
Corey Conners  ,4,2,0.5,0,102108,2.77,3.69
Hideki Matsuyama  ,4,4,1,0,173003,2.74,6.31
Denny McCarthy  ,4,3,0.75,1,201556,2.73,7.38
Justin Rose  ,4,2,0.5,1,181500,2.73,6.65
Emiliano Grillo  ,4,1,0.25,1,137813,2.7,5.1
Sahith Theegala  ,4,3,0.75,1,178049,2.67,6.67
Si Woo Kim  ,4,2,0.5,0,52635,2.54,2.07
Harris English  ,4,2,0.5,1,157352,2.43,6.48
J.T. Poston  ,4,3,0.75,0,50706,2.37,2.14
Tom Hoge  ,4,1,0.25,0,8313,2.24,0.37
Chris Kirk  ,4,2,0.5,0,69334,2.2,3.15
Nick Taylor  ,4,0,0,0,0,2.12,0
Adam Schenk  ,4,1,0.25,0,37712,2.09,1.8
Cameron Davis  ,4,3,0.75,1,199662,2,9.98
Taylor Moore  ,4,2,0.5,0,26425,1.98,1.33
Lucas Glover  ,4,2,0.5,0,55730,1.89,2.95
Seamus Power  ,4,1,0.25,0,14400,1.87,0.77
Lee Hodges  ,3,1,0.33,0,11667,1.86,0.63
Brendon Todd  ,4,1,0.25,0,11483,1.81,0.63
Byeong-Hun An  ,4,3,0.75,0,56568,1.81,3.13
Keith Mitchell  ,4,3,0.75,0,69151,1.76,3.93
Adam Hadwin  ,4,4,1,1,157611,1.75,9.01
Adam Svensson  ,3,2,0.67,0,29874,1.72,1.74
Andrew Putnam  ,4,3,0.75,0,52058,1.71,3.04
Matt Kuchar  ,4,1,0.25,0,15402,1.7,0.91
Alex Smalley  ,1,1,1,0,165000,1.58,10.44
Taylor Montgomery  ,4,2,0.5,0,13733,1.53,0.9
Eric Cole  ,3,2,0.67,0,124591,1.51,8.25
Patrick Rodgers  ,4,4,1,0,92375,1.43,6.46
Thomas Detry  ,4,3,0.75,0,87170,1.43,6.1
Mackenzie Hughes  ,4,2,0.5,0,43581,1.41,3.09
J.J. Spaun  ,4,1,0.25,0,34500,1.37,2.52
Brandon Wu  ,3,0,0,0,0,1.32,0
Mark Hubbard  ,3,2,0.67,0,16500,1.32,1.25
Davis Riley  ,4,2,0.5,0,88520,1.31,6.76
Hayden Buckley  ,4,2,0.5,0,94076,1.3,7.24
Aaron Rai  ,3,1,0.33,0,36333,1.27,2.86
Stephan Jaeger  ,3,3,1,0,41983,1.26,3.33
Beau Hossler  ,4,4,1,0,40089,1.11,3.61
Sam Ryder  ,2,0,0,0,0,1.11,0
Ben Griffin  ,2,0,0,0,0,1.09,0
Sam Stevens  ,3,3,1,0,45688,1.09,4.19
Matthew NeSmith  ,2,2,1,0,120458,1.08,11.15
Nick Hardy  ,4,2,0.5,0,110364,0.94,11.74
Vincent Norrman  ,1,0,0,0,0,0.83,0
